,PCT,CRIME,2012,2013,2014,2015,2016,2017,2018
79,7,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),123.0,115,113,92,131,113,95
80,7,AGGRAVATED HARASSMENT 2               ,214.0,203,135,120,180,205,195
81,7,ADMINISTRATIVE CODE (6)            ,6.0,5,1,3,0,5,1
82,7,OTHER MISDEMEANORS (8),368.0,352,284,376,274,266,164
83,7,UNAUTHORIZED USE OF A VEHICLE           ,4.0,1,2,7,3,3,1
84,7,INTOXICATED & IMPAIRED DRIVING              ,74.0,70,60,44,24,28,27
85,7,PETIT LARCENY                         ,633.0,584,572,570,653,600,700
86,7,MISDEMEANOR DANGEROUS WEAPONS (5)               ,99.0,79,62,65,40,41,23
87,7,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,43.0,24,12,12,9,10,9
88,7,VEHICLE AND TRAFFIC LAWS              ,25.0,39,35,25,33,49,38
89,9,ADMINISTRATIVE CODE (6)            ,3.0,3,3,1,2,0,4
90,9,CRIMINAL TRESPASS,284.0,219,220,246,233,150,164
91,9,UNAUTHORIZED USE OF A VEHICLE           ,8.0,2,11,3,6,4,1
92,9,GRAND LARCENY                         ,802.0,904,876,878,961,841,835
93,9,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),119.0,109,101,110,119,108,97
94,9,OTHER MISDEMEANORS (8),404.0,407,539,483,415,361,174
95,9,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,110.0,110,107,115,103,108,93
96,9,FELONY DANGEROUS DRUGS  (1),372.0,407,357,331,296,295,161
97,9,INTOXICATED & IMPAIRED DRIVING              ,36.0,31,28,22,23,17,16
98,9,FELONY POSSESSION STOLEN PROPERTY            ,12.0,11,16,9,8,11,5
99,9,MISDEMEANOR DANGEROUS WEAPONS (5)               ,55.0,52,39,52,49,44,36
100,9,FEL. CRIMINAL MISCHIEF & RELATED OFFENSES  ,58.0,57,36,22,39,36,51
101,9,RAPE                                  ,15.0,18,22,19,10,16,40
102,9,PETIT LARCENY                         ,1454.0,1607,1337,1281,1202,1201,1176
103,9,HARASSMENT 2                          ,608.0,574,565,538,560,529,595
104,9,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,56.0,32,34,26,14,12,4
105,9,OTHER VIOLATIONS (1),70.0,31,19,25,24,11,3
106,9,ROBBERY                               ,177.0,137,110,134,152,120,85
107,9,BURGLARY                              ,193.0,165,138,135,112,131,161
108,9,OTHER FELONIES (4),97.0,98,95,82,93,84,68
109,9,MISDEMEANOR SEX CRIMES (4),30.0,31,35,46,69,55,86
110,10,AGGRAVATED HARASSMENT 2               ,253.0,203,151,155,191,189,192
111,10,UNAUTHORIZED USE OF A VEHICLE           ,7.0,9,25,17,10,12,15
112,10,CRIMINAL TRESPASS,176.0,207,154,69,194,144,118
113,10,VEHICLE AND TRAFFIC LAWS              ,39.0,38,40,48,28,50,54
114,10,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),51.0,86,73,63,81,59,49
115,10,OTHER FELONIES (4),60.0,59,66,56,48,44,40
116,10,FEL. CRIMINAL MISCHIEF & RELATED OFFENSES  ,41.0,63,43,41,43,62,56
117,10,FELONY DANGEROUS DRUGS  (1),167.0,199,188,172,177,83,84
118,10,FELONY SEX CRIMES (3),5.0,8,12,9,16,17,18
119,10,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,125.0,89,104,98,89,90,66
120,10,FELONY POSSESSION STOLEN PROPERTY            ,17.0,21,9,24,18,10,7
121,10,OTHER MISDEMEANORS (8),248.0,397,343,402,374,341,125
122,10,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,15.0,24,4,9,6,5,7
123,10,MISDEMEANOR SEX CRIMES (4),25.0,33,16,33,52,49,50
124,10,MISDEMEANOR DANGEROUS WEAPONS (5)               ,23.0,21,15,20,23,26,15
125,10,PETIT LARCENY                         ,984.0,995,863,729,709,663,810
126,10,INTOXICATED & IMPAIRED DRIVING              ,43.0,43,40,28,46,38,67
127,10,FELONY ASSAULT                        ,81.0,98,110,106,95,105,97
128,10,ROBBERY                               ,114.0,110,89,105,94,90,81
129,10,OTHER VIOLATIONS (1),37.0,47,32,16,9,6,5
130,10,GRAND LARCENY OF MOTOR VEHICLE                                  ,27.0,39,35,31,31,35,26
131,10,GRAND LARCENY                         ,764.0,762,709,736,726,653,744
132,10,MURDER & NON NEGL. MANSLAUGHTER                                ,3.0,1,0,1,0,0,1
133,13,AGGRAVATED HARASSMENT 2               ,301.0,328,258,230,260,267,269
134,13,OTHER MISDEMEANORS (8),1513.0,1332,1113,1266,1110,1204,381
135,13,PETIT LARCENY                         ,1915.0,2094,1874,1917,1892,1822,2183
136,13,HARASSMENT 2                          ,654.0,674,636,681,621,650,720
137,13,OTHER VIOLATIONS (1),68.0,58,56,84,36,42,47
138,13,FELONY POSSESSION STOLEN PROPERTY            ,15.0,24,34,16,17,10,2
139,13,OTHER FELONIES (4),56.0,80,60,79,60,64,67
140,13,FEL. CRIMINAL MISCHIEF & RELATED OFFENSES  ,45.0,48,56,70,84,84,78
141,13,ADMINISTRATIVE CODE (6)            ,3.0,1,2,1,2,4,8
142,13,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),117.0,96,70,99,99,73,64
143,13,BURGLARY                              ,188.0,214,245,234,178,144,195
144,13,GRAND LARCENY OF MOTOR VEHICLE                                  ,37.0,52,53,59,26,30,37
145,13,MISDEMEANOR SEX CRIMES (4),81.0,96,93,103,122,147,110
146,13,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,127.0,106,48,39,14,9,20
147,13,INTOXICATED & IMPAIRED DRIVING              ,78.0,74,35,28,35,28,36
148,13,VEHICLE AND TRAFFIC LAWS              ,62.0,88,74,76,69,93,75
149,13,CRIMINAL TRESPASS,137.0,135,142,140,127,92,111
150,13,UNAUTHORIZED USE OF A VEHICLE           ,6.0,4,4,7,6,3,6
151,13,FELONY DANGEROUS DRUGS  (1),259.0,234,174,146,111,84,83
152,13,MURDER & NON NEGL. MANSLAUGHTER                                ,1.0,1,0,2,2,3,2
153,13,RAPE                                  ,17.0,11,12,19,23,18,18
154,13,FELONY ASSAULT                        ,129.0,135,174,198,163,149,174
155,13,FELONY SEX CRIMES (3),46.0,35,37,35,35,29,44
156,14,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,273.0,295,331,301,266,296,315
157,14,BURGLARY                              ,316.0,345,275,301,253,226,210
158,14,GRAND LARCENY                         ,2176.0,2138,2090,2059,2121,1962,2005
159,14,OTHER VIOLATIONS (1),234.0,181,249,145,93,83,63
160,14,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,37.0,59,48,25,32,30,17
161,14,MISDEMEANOR DANGEROUS WEAPONS (5)               ,166.0,192,170,112,163,149,125
162,14,PETIT LARCENY                         ,4224.0,4551,4070,3842,3320,3298,3476
163,14,INTOXICATED & IMPAIRED DRIVING              ,109.0,61,54,41,39,34,20
164,14,RAPE                                  ,9.0,10,12,13,18,21,19
165,14,ROBBERY                               ,185.0,174,177,221,201,177,150
166,14,VEHICLE AND TRAFFIC LAWS              ,68.0,54,94,77,72,61,80
167,14,FELONY SEX CRIMES (3),34.0,23,36,41,40,51,48
168,14,FELONY DANGEROUS DRUGS  (1),271.0,331,384,394,488,444,421
169,14,FEL. CRIMINAL MISCHIEF & RELATED OFFENSES  ,144.0,167,132,136,101,164,214
170,14,OTHER FELONIES (4),118.0,113,120,85,108,92,100
171,14,HARASSMENT 2                          ,584.0,514,606,596,636,681,759
172,14,UNAUTHORIZED USE OF A VEHICLE           ,8.0,6,9,4,6,8,5
173,14,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),204.0,218,203,186,205,161,162
174,14,ADMINISTRATIVE CODE (6)            ,2.0,1,0,2,7,8,12
175,14,AGGRAVATED HARASSMENT 2               ,324.0,267,201,213,242,268,279
176,14,OTHER MISDEMEANORS (8),2324.0,2799,3490,3085,3252,2867,1082
177,17,OTHER VIOLATIONS (1),63.0,81,57,64,52,52,10
178,17,HARASSMENT 2                          ,259.0,239,303,366,387,500,487
179,17,ROBBERY                               ,47.0,61,64,49,65,72,63
180,17,GRAND LARCENY                         ,721.0,766,634,721,742,755,748
181,17,FELONY ASSAULT                        ,80.0,64,46,74,72,83,91
182,17,MURDER & NON NEGL. MANSLAUGHTER                                ,2.0,0,0,1,1,2,0
183,17,FEL. CRIMINAL MISCHIEF & RELATED OFFENSES  ,31.0,38,42,70,58,75,63
184,17,FELONY SEX CRIMES (3),10.0,9,25,10,13,14,18
185,17,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,76.0,104,96,124,108,113,112
186,17,FELONY POSSESSION STOLEN PROPERTY            ,3.0,3,5,1,4,2,6
187,17,GRAND LARCENY OF MOTOR VEHICLE                                  ,25.0,20,30,40,26,22,26
188,17,FELONY DANGEROUS DRUGS  (1),36.0,20,19,22,7,20,17
189,17,UNAUTHORIZED USE OF A VEHICLE           ,5.0,2,5,2,6,6,3
190,17,CRIMINAL TRESPASS,57.0,74,67,33,61,63,60
191,17,OTHER MISDEMEANORS (8),163.0,246,268,211,216,238,162
192,17,MISDEMEANOR SEX CRIMES (4),29.0,42,48,62,54,68,68
193,17,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,24.0,3,4,5,3,5,8
194,17,ADMINISTRATIVE CODE (6)            ,2.0,2,1,3,3,0,4
195,17,MISDEMEANOR DANGEROUS WEAPONS (5)               ,15.0,12,22,19,23,13,7
196,17,PETIT LARCENY                         ,745.0,823,657,597,696,926,1069
197,17,INTOXICATED & IMPAIRED DRIVING              ,45.0,39,57,24,21,20,26
198,17,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),49.0,40,44,32,34,29,26
199,18,AGGRAVATED HARASSMENT 2               ,397.0,397,219,265,295,317,298
200,18,OTHER MISDEMEANORS (8),521.0,539,935,757,911,865,456
